Year,Team1,Team2,Winner,WinnerPlayedLastGameAtHome,SameCountry,ScoreDiffFirstMatch,ScoreDiffSecondMatch,ScoreDiff,WinningType,DecidedPenalty,DecidedGoalAwayRule,Phase,Competition
2014,San Lorenzo,Grêmio,1,False,False,1,-1,0,PENA,True,False,RoundOf16,Libertadores
2014,Lanús,Santos Laguna,1,False,False,1,2,3,NORM,False,False,RoundOf16,Libertadores
2014,Atlético Nacional,Atlético Mineiro,1,False,False,1,0,1,NORM,False,False,RoundOf16,Libertadores
2014,The Strongest,Defensor Sporting,2,True,False,2,-2,0,PENA,True,False,RoundOf16,Libertadores
2014,León,Bolívar,2,True,False,0,0,0,GAAT,False,True,RoundOf16,Libertadores
2014,Cruzeiro,Cerro Porteño,1,False,False,0,2,2,NORM,False,False,RoundOf16,Libertadores
2014,Arsenal,Unión Española,1,False,False,0,1,1,NORM,False,False,RoundOf16,Libertadores
2013,São Paulo,Atlético Mineiro,2,True,True,-1,-3,-4,NORM,False,False,RoundOf16,Libertadores
2013,Grêmio,Santa Fe,2,True,False,1,-1,0,GAAT,False,True,RoundOf16,Libertadores
2013,Tigre,Olimpia,2,True,False,1,-2,-1,NORM,False,False,RoundOf16,Libertadores
2013,Boca Juniors,Corinthians,1,False,False,1,0,1,NORM,False,False,RoundOf16,Libertadores
2013,Newell's Old Boys,Vélez Sarsfield,1,False,True,-1,1,0,GAAT,False,True,RoundOf16,Libertadores
2013,Emelec,Fluminense,2,True,False,1,-2,-1,NORM,False,False,RoundOf16,Libertadores
2013,Real Garcilaso,Nacional,1,False,False,1,-1,0,PENA,True,False,RoundOf16,Libertadores
2013,Tijuana,Palmeiras,1,False,False,0,1,1,NORM,False,False,RoundOf16,Libertadores
2012,Fluminense,Internacional,1,True,True,0,1,1,NORM,False,False,RoundOf16,Libertadores
2012,Corinthians,Emelec,1,True,False,0,3,3,NORM,False,False,RoundOf16,Libertadores
2012,Santos,Bolívar,1,True,False,-1,8,7,NORM,False,False,RoundOf16,Libertadores
2012,Universidad de Chile,Deportivo Quito,1,True,False,-3,6,3,NORM,False,False,RoundOf16,Libertadores
2012,Libertad,Cruz Azul,1,True,False,0,2,2,NORM,False,False,RoundOf16,Libertadores
2012,Vélez Sársfield,Atlético Nacional,1,True,False,1,0,1,NORM,False,False,RoundOf16,Libertadores
2012,Lanús,Vasco da Gama,2,False,False,-1,1,0,PENA,True,False,RoundOf16,Libertadores
2012,Unión Española,Boca Juniors,2,False,False,-1,-1,-2,NORM,False,False,RoundOf16,Libertadores
2011,Cruzeiro,Once Caldas,2,False,False,1,-2,-1,NORM,False,False,RoundOf16,Libertadores
2011,Libertad,Fluminense,1,True,False,-2,3,1,NORM,False,False,RoundOf16,Libertadores
2011,Internacional,Peñarol,2,False,False,0,-1,-1,NORM,False,False,RoundOf16,Libertadores
2011,Junior,Chiapas,2,False,False,0,0,0,GAAT,False,True,RoundOf16,Libertadores
2011,Cerro Porteño,Estudiantes,1,True,False,0,0,0,PENA,True,False,RoundOf16,Libertadores
2011,Universidad Católica,Grêmio,1,True,False,1,1,2,NORM,False,False,RoundOf16,Libertadores
2011,LDU Quito,Vélez Sársfield,2,False,False,-3,-2,-5,NORM,False,False,RoundOf16,Libertadores
2011,América,Santos,2,False,False,-1,0,-1,NORM,False,False,RoundOf16,Libertadores
2022,Athletico Paranaense,Estudiantes,1,False,False,0,1,1,NORM,False,False,Quarters,Libertadores
2022,Corinthians,Flamengo,2,True,True,-2,-1,-3,NORM,False,False,Quarters,Libertadores
2022,Vélez Sarsfield,Talleres,1,False,True,1,1,2,NORM,False,False,Quarters,Libertadores
