Year,Position,Club,Points,Country,Competition
2015,15,Universitario de Sucre,9,Bolivia,Libertadores
2015,16,River Plate,7,Argentina,Libertadores
2014,1,Vélez Sarsfield,15,Argentina,Libertadores
2014,2,Grêmio,14,Brazil,Libertadores
2014,3,Santos Laguna,13,Mexico,Libertadores
2014,4,Atlético Mineiro,12,Brazil,Libertadores
2014,5,Defensor Sporting,11,Uruguay,Libertadores
2014,6,Bolívar,11,Bolivia,Libertadores
2014,7,Cerro Porteño,10,Paraguay,Libertadores
2014,8,Unión Española,9,Chile,Libertadores
2014,9,Arsenal,12,Argentina,Libertadores
2014,10,Cruzeiro,10,Brazil,Libertadores
2014,11,León,10,Mexico,Libertadores
2014,12,The Strongest,10,Bolivia,Libertadores
2014,13,Atlético Nacional,10,Colombia,Libertadores
2014,14,Lanús,8,Argentina,Libertadores
2014,15,San Lorenzo,8,Argentina,Libertadores
2014,16,Nacional,8,Uruguay,Libertadores
2013,1,Atlético Mineiro,15,Brazil,Libertadores
2013,2,Santa Fe,14,Colombia,Libertadores
2013,3,Olimpia,13,Paraguay,Libertadores
2013,4,Corinthians,13,Brazil,Libertadores
2013,5,Vélez Sarsfield,13,Argentina,Libertadores
2013,6,Fluminense,11,Brazil,Libertadores
2013,7,Nacional,10,Uruguay,Libertadores
2013,8,Palmeiras,9,Brazil,Libertadores
2013,9,Tijuana,13,Mexico,Libertadores
2013,10,Real Garcilaso,10,Peru,Libertadores
2013,11,Emelec,10,Ecuador,Libertadores
2013,12,Newell's Old Boys,9,Argentina,Libertadores
2013,13,Boca Juniors,9,Argentina,Libertadores
2013,14,Tigre,9,Mexico,Libertadores
2013,15,Grêmio,8,Brazil,Libertadores
2013,16,São Paulo,7,Brazil,Libertadores
2012,1,Fluminense,15,Brazil,Libertadores
2012,2,Corinthians,14,Brazil,Libertadores
2012,3,Santos,13,Brazil,Libertadores
2012,4,Universidad de Chile,13,Chile,Libertadores
2012,5,Libertad,13,Paraguay,Libertadores
2012,6,Vélez Sársfield,12,Argentina,Libertadores
2012,7,Lanús,10,Argentina,Libertadores
2012,8,Unión Española,10,Chile,Libertadores
2012,9,Boca Juniors,13,Argentina,Libertadores
2012,10,Vasco da Gama,13,Brazil,Libertadores
2012,11,Atlético Nacional,11,Colombia,Libertadores
2012,12,Cruz Azul,11,Mexico,Libertadores
2012,13,Deportivo Quito,10,Ecuador,Libertadores
2012,14,Bolívar,10,Bolivia,Libertadores
2012,15,Emelec,9,Ecuador,Libertadores
2012,16,Internacional,8,Brazil,Libertadores
2011,1,Cruzeiro,16,Brazil,Libertadores
2011,2,Libertad,14,Paraguay,Libertadores
2011,3,Internacional,13,Brazil,Libertadores
2011,4,Junior,13,Colombia,Libertadores
2011,5,Cerro Porteño,11,Paraguay,Libertadores
2011,6,Universidad Católica,11,Chile,Libertadores
2011,7,LDU Quito,10,Ecuador,Libertadores
2011,8,América,10,Mexico,Libertadores
2011,9,Santos,11,Brazil,Libertadores
2011,10,Vélez Sársfield,10,Argentina,Libertadores
2011,11,Grêmio,10,Brazil,Libertadores
2011,12,Estudiantes,10,Argentina,Libertadores
2011,13,Chiapas,9,Mexico,Libertadores
2011,14,Peñarol,9,Uruguay,Libertadores
2011,15,Fluminense,8,Brazil,Libertadores
2011,16,Once Caldas,7,Colombia,Libertadores
